材料名称,四（五）性,五味,引用次数,描述
鸡,4,1,79,补中益气、滋阴补虚
乌鸡,4,1,12,补肾益气，养血温阳
鸭,2,1,44,清热解暑、润燥止渴
鹅,4,1,6,益气补虚、养阴润燥
鹧鸪,4,1,1,滋阴补肾、益气强身
鹌鹑,3,1,3,益气健脾、滋阴补虚
乳鸽,3,1,6,补益肾气、滋补虚弱
瘦肉,3,1,119,补虚益气、滋阴润燥
排骨,3,1,38,补肾养血、滋阴润燥
扇骨,3,1,2,益气健脾、滋阴润燥
猪横利（脾脏）,3,1,5,益气健脾、滋阴补虚
猪肚,3,1,23,益气健脾、利水消肿
猪肝,3,1,6,养血滋阴、益肝明目
4猪骨,1,4,1,清热解毒、软坚散结
猪肺,2,1,9,润肺止咳、清热解毒
猪脚,3,1,6,滋阴润燥、益气补肾
牛三星,3,1,1,补中益气、滋阴润燥
牛展,3,1,6,滋阴润肺、益气健脾
羊肉,4,1,11,益气补虚、温中散寒
羊肉（带皮）,4,1,11,补益肾阳、温暖脾胃
鲫鱼,3,1,13,益气补虚、利水消肿
鲍鱼,1,4,1,滋阴养肾、润燥通便
黄鳝,4,1,4,补益肝肾、滋阴润燥
鲈鱼,3,1,1,益气补虚、温中行气
海螺,3,1,6,补肾益精、滋阴润燥
花胶,3,1,1,滋阴润燥、补血益肤
泥蜢,3,1,1,滋阴润燥、养胃健脾
鱿鱼干,3,1,3,滋阴润燥、益气健脾
水鱼,3,1,3,益气养血、补肾益精
田螺,3,1,1,益气补虚、健脾利湿
塘鲺鱼,3,1,3,益气养血、滋阴润燥
生蚝,1,4,3,滋阴养血、滋阴润燥
蚌肉,3,1,3,益气养血、润燥滑肠
田鸡,3,1,5,滋阴养阴、补中益气
鳕鱼,3,1,4,滋阴润燥、益气健脾
5瓜,1,5,3,清热解毒、凉血利湿
冬瓜,1,3,11,清热利尿、润燥生津
玉米,3,1,8,益气健脾、利水消肿
莲藕,1,1,11,清热润肺、止血生津
海带,1,4,6,软坚散结、利水消肿
红萝卜,2,1,6,清热解毒、润燥生津
白萝卜,4,6,4,化痰止咳、消食解积
马蹄,3,1,2,清热解毒、利尿消肿
1蔗,1,1,3,滋阴润燥、解毒生津
淮山,3,1,66,补益脾胃、滋阴润燥
粉葛,1,1,3,清热解毒、凉血利水
西洋菜,2,1,3,清热解毒、润肺利尿
鱼腥草,1,5,1,清热解毒、利湿止痒
茼蒿,2,5,1,清热解毒、利水消肿
姬松茸,3,1,1,补气益精、养阴润燥
栗子,4,1,11,补益脾胃、润肺止咳
竹笋,1,1,2,清热解毒、利水消肿
鲜莲子,3,1,24,滋阴润燥、补脾益胃
番茄,1,2,3,清热解毒、利尿消肿
鸡骨草,1,5,1,清热解毒、利湿消肿
五指毛桃,2,2,3,收敛止泻、涩肠固涩
土茯苓,2,1,13,清热利湿、健脾胃
麦冬,2,1,8,滋阴润肺、生津止渴
黄芪,4,1,7,益气固表、补脾益肺
党参,3,1,11,益气健脾、生津润肺
百合,3,1,15,清热润肺、养心安神
川贝,1,5,3,清热化痰、润肺止咳
芡实,2,1,9,补脾固肾、止泻收敛
山萸,3,2,3,收敛固涩、益气养血
虫草花,5,1,5,补肾壮阳、益气养血
冬虫夏草,5,1,6,滋阴补肾、强壮身体
太子参,3,1,13,益气养阴、清热润肺
金婴子,3,1,3,补气养血、滋阴润燥
沙参,5,1,17,清热润肺、益气生津
西洋参,5,1,18,益气养阴、清热生津
石斛,1,1,22,滋阴润肺、养心安神
麦冬,2,1,8,滋阴润肺、生津止渴
北芪,4,1,12,补中益气、固表止汗
当归,4,1,7,活血调经、养血补气
茅根,1,1,5,清热解毒、利尿消肿
灵芝,5,5,6,调节免疫、延缓衰老
田七,2,1,2,活血化瘀、止血消肿
菟丝子,3,1,3,补肝肾、益精明目
丹参,1,5,6,活血化瘀、清热解毒
红豆,1,1,6,清热解毒、利水消肿
绿豆,1,1,8,清热解毒、利湿消肿
薏米,1,1,19,利水消肿、健脾利湿
黄豆,3,1,12,补益脾胃、利水消肿
干贝,1,4,3,补肾益精、滋阴润燥
瑶柱,1,4,1,补肾壮阳、滋阴润燥
干3菜,1,5,1,清热解毒、利湿消肿
鱿鱼干,1,4,3,滋阴润燥、补肾壮阳
章鱼干,1,4,1,滋阴润燥、补肾益精
桂圆干,4,1,6,补益心脾、养血安神
蜜枣,4,1,28,补中益气、养血安神
红枣,4,1,45,益气养血、调和脾胃
枸杞,5,1,28,滋阴补肾、明目养颜
霸王花,1,5,7,清热解毒、凉血止血
黑豆,1,1,8,清热解毒、利水消肿
赤小豆,1,1,12,清热解毒、利水消肿
莲子,3,1,24,滋阴润肺、益心安神
海底椰,1,1,3,清热解毒、润肺止咳
白豆,3,1,1,益气健脾、清热解毒
白菜干,1,1,3,清热解毒、利湿消肿
南杏,4,5,5,润肺止咳、润燥通便
北杏,4,5,12,润肺止咳、润燥通便
三宝扎,3,1,1,益气养血、调和脾胃
橄榄,1,2,11,润肺止咳、益气养血
油柑,4,1,1,健脾开胃、理气化痰
西洋菜干,2,1,3,清热解毒、润肺利尿
豆腐,3,1,15,益气养血、滋阴润燥
扁豆,1,1,12,清热解毒、利水消肿
羊肚菌,3,1,1,补气益肾、滋阴润燥
石橄榄,1,4,1,清热解毒、润肺止咳
海马干,1,4,4,补肾壮阳、滋阴润燥
蝎子干,4,6,2,温经止痛、解毒祛风
海龙干,4,4,6,补肾壮阳、益精填髓
紫菜干,1,1,1,清热利尿、软坚散结
猴头菇,5,1,7,益气健脾、滋阴润燥
豆豉,1,4,1,解毒消肿、祛风散寒
花生,3,1,11,补益脾胃、滋阴润燥
雪耳,3,1,5,滋阴润燥、清热解毒
白果（银杏）,3,5,5,涩肠止泻、止血敛疮
眉豆,3,1,5,清热解毒、利水消肿
云耳,1,1,2,滋阴润肺、清热解毒
核桃,4,1,8,补肾益精、润肠通便
茶树菇,3,1,7,益气养血、滋阴润燥
木棉花干,4,1,1,润肺止咳、化痰消肿
莲子芯,1,1,1,滋阴润肺、清热解毒
竹荪,3,1,1,滋阴润肺、补气养血
香菇,3,1,7,益气健脾、滋阴润燥
陈皮,4,5,37,理气化湿、行气消食
白胡椒,4,6,3,温中散寒、祛风除湿
黑胡椒,4,6,2,温中散寒、祛风除湿
蒜,4,6,1,温中散寒、解毒杀菌
黑蒜,4,1,1,补益脾胃、增强免疫
葱,4,6,24,发散风寒、解表散寒
香菜,4,6,1,理气开胃、行气化湿
鱼露,3,4,1,一种由发酵的鱼类制成的液体调味品，常用于东南亚菜肴中增加风味
花生油,3,3,1,由花生压榨而成的食用油，含有丰富的不饱和脂肪1.，常用于烹饪和调味
虾米,4,4,1,补肾壮阳、补血滋阴
苹果,2,1,5,生津止渴、润肺养胃
雪梨,2,1,23,润肺止咳、清热解毒
无花果,3,1,21,补中益气、润肺止咳
木瓜,3,1,12,健脾消食、润肠通便
椰子,2,1,3,润肺止咳、解暑生津
枇杷,1,1,3,清热解毒、润肺止咳
蜜瓜,2,1,1,生津止渴、清热解暑
姜,5,6,192,发汗解表，温中止呕